,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
179,179,Paul George,2016,25,IND,NBA,SF,81,81,34.8,7.5,17.9,0.418,2.6,7.0,.371,4.9,10.9,0.447,0.49,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1,2,False
180,180,Carmelo Anthony,2016,31,NYK,NBA,SF,72,72,35.1,7.9,18.2,0.434,1.5,4.3,.339,6.4,13.8,0.46299999999999997,0.474,4.6,5.6,0.8290000000000001,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,8,False
181,181,Dwyane Wade,2016,34,MIA,NBA,SG,74,73,30.5,7.3,16.0,0.456,0.1,0.6,.159,7.2,15.4,0.46799999999999997,0.45899999999999996,4.4,5.5,0.7929999999999999,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,10,False
182,182,LeBron James,2016,31,CLE,NBA,SF,76,76,35.6,9.7,18.6,0.52,1.1,3.7,.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,11,False
183,183,John Wall,2016,25,WAS,NBA,PG,77,77,36.2,7.4,17.5,0.424,1.5,4.3,.351,5.9,13.3,0.44799999999999995,0.467,3.5,4.5,0.7909999999999999,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9,2,False
184,184,Paul Millsap,2016,30,ATL,NBA,PF,81,81,32.7,6.2,13.2,0.47,0.9,2.9,.319,5.3,10.3,0.512,0.505,3.8,5.0,0.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1,2,False
185,185,Isaiah Thomas,2016,26,BOS,NBA,PG,82,79,32.2,7.2,16.9,0.428,2.0,5.7,.359,5.2,11.2,0.462,0.488,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2,0,True
186,186,DeMar DeRozan,2016,26,TOR,NBA,SG,78,78,35.9,7.9,17.7,0.446,0.6,1.8,.338,7.3,15.9,0.45799999999999996,0.46299999999999997,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,1,False
187,187,Andre Drummond,2016,22,DET,NBA,C,81,81,32.9,6.8,13.1,0.521,0.0,0.1,.333,6.8,13.0,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2,0,True
188,188,Pau Gasol,2016,35,CHI,NBA,C,72,72,31.8,6.5,13.8,0.469,0.3,1.0,.348,6.2,12.9,0.478,0.48100000000000004,3.2,4.0,0.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5,5,False
189,189,Al Horford,2016,29,ATL,NBA,C,82,82,32.1,6.5,12.8,0.505,1.1,3.1,.344,5.4,9.7,0.557,0.547,1.3,1.6,0.7979999999999999,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2,3,False
190,190,James Harden,2015,25,HOU,NBA,SG,81,81,36.8,8.0,18.1,0.44,2.6,6.9,.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,2,False
