,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
230,2024,Dominick Barlow,PF,20,SAS,60,45,11.6,1.4,3.3,.442,0.1,0.3,.250,1.4,3.0,.458,.452,0.6,1.1,.588,1.1,1.9,3.1,1.1,0.4,0.6,0.2,1.4,3.6,0,.184,1.090909090909091,0.06,0.06,=
229,2024,Duop Reath,C,27,POR,70,53,18.0,3.4,7.6,.451,1.4,3.9,.362,2.0,3.7,.545,.544,1.1,1.4,.784,1.4,2.6,4.0,1.0,0.6,0.5,0.8,2.3,9.3,0,.256,1.223684210526316,0.06,0.06,=
228,2024,Brandin Podziemski,SG,20,GSW,76,53,24.3,3.6,7.8,.463,1.4,3.4,.402,2.2,4.4,.510,.551,0.7,1.1,.611,1.5,4.0,5.5,3.2,0.9,0.2,1.2,1.8,9.2,0,.462,1.1794871794871795,0.06,0.06,=
225,2024,Taylor Hendricks,PF,20,UTA,54,41,13.9,1.8,4.5,.397,0.9,2.7,.343,0.8,1.8,.478,.500,0.5,0.6,.750,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9,0,.512,1.088888888888889,0.06,0.06,=
226,2024,Matt Ryan,SF,26,NOP,55,43,22.9,2.9,6.4,.458,2.5,5.2,.471,0.5,1.2,.400,.651,1.0,1.1,.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3,0,.600,1.453125,0.06,0.06,=
227,2024,Chuma Okeke,SF,25,ORL,65,48,11.7,1.1,3.0,.369,0.7,2.3,.314,0.4,0.6,.571,.492,0.0,0.1,.000,0.6,2.0,2.6,0.7,0.1,0.2,0.4,0.5,2.9,0,.538,0.9666666666666667,0.06,0.06,=
222,2024,Dennis Smith Jr.,PG,26,BRK,67,45,19.6,2.8,6.7,.419,0.5,1.9,.273,2.3,4.8,.477,.458,1.0,1.3,.828,0.9,2.4,3.3,4.2,1.0,0.2,1.0,2.5,7.2,0,.421,1.0746268656716418,0.06,0.06,=
221,2024,Quentin Grimes,SG,23,NYK,79,61,20.0,2.4,6.1,.399,1.8,4.7,.387,0.6,1.4,.440,.548,0.3,0.4,.625,0.3,1.4,1.7,1.1,0.7,0.1,0.4,1.5,6.9,0,.590,1.1311475409836067,0.06,0.06,=
220,2024,Omer Yurtseven,C,25,UTA,64,47,11.0,1.7,3.3,.500,0.1,0.7,.200,1.5,2.7,.574,.520,0.3,0.4,.600,1.5,2.9,4.4,0.6,0.2,0.4,1.0,1.4,3.7,0,.512,1.1212121212121213,0.06,0.06,=
219,2024,Jake LaRavia,PF,22,MEM,54,43,11.1,1.5,3.9,.372,0.5,2.2,.208,1.0,1.7,.579,.430,0.3,0.4,.750,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6,0,.359,0.9230769230769231,0.06,0.06,=
218,2024,T.J. McConnell,PG,31,IND,74,44,16.3,3.5,6.5,.532,0.0,0.5,.063,3.4,6.0,.573,.535,0.9,1.2,.730,0.5,2.2,2.7,5.4,1.1,0.1,1.3,0.9,7.8,0,.590,1.2,0.06,0.06,=
223,2024,Jarred Vanderbilt,PF,24,LAL,61,47,18.7,1.2,3.1,.390,0.2,1.0,.158,1.1,2.1,.500,.415,0.3,0.5,.500,1.4,2.9,4.3,1.0,0.7,0.2,0.7,1.6,2.8,0,.475,0.9032258064516128,0.06,0.06,=
224,2024,DeAndre Jordan,C,35,DEN,59,42,13.0,1.9,3.0,.630,0.0,0.0,0,1.9,3.0,.630,.630,1.1,2.3,.452,1.8,3.5,5.3,1.0,0.3,0.6,0.9,1.8,4.8,1,.683,1.5999999999999999,0.06,0.05,=
236,2024,Thomas Bryant,C,26,MIA,63,46,11.4,2.0,3.6,.556,0.0,0.2,.000,2.0,3.5,.580,.556,0.9,1.0,.850,1.1,2.5,3.6,0.6,0.3,0.3,0.8,1.2,4.9,0,.590,1.3611111111111112,0.05,0.05,=
