,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
313,2024,Rayan Rupert,SG,19,POR,65,58,4.4,0.1,1.7,.083,0.1,0.9,.167,0.0,0.9,.000,.125,0.3,0.6,.500,0.1,0.0,0.1,0.3,0.3,0.0,0.3,0.1,0.7,0,.250,0.4117647058823529,1.51
366,2024,Devin Vassell,SG,23,SAS,77,71,29.5,6.7,14.1,.476,2.6,7.2,.368,4.1,6.9,.588,.569,2.5,3.2,.800,0.5,3.1,3.5,2.8,1.0,0.2,1.4,1.1,18.5,0,.167,1.3120567375886525,1.48
108,2024,Trent Forrest,SG,25,ATL,64,57,8.7,0.4,2.1,.200,0.0,0.1,.000,0.4,2.0,.214,.200,0.6,0.6,1.000,0.6,0.6,1.1,1.7,0.3,0.0,0.4,0.7,1.4,0,.400,0.6666666666666666,1.48
388,2024,Andrew Wiggins,SF,28,GSW,80,78,26.7,4.7,11.2,.415,0.9,3.2,.274,3.8,8.0,.470,.453,1.9,2.9,.652,1.9,2.4,4.3,1.1,0.3,0.3,1.8,2.4,12.0,1,.440,1.0714285714285714,1.43
307,2024,Orlando Robinson,C,23,MIA,68,63,17.4,2.6,4.9,.525,0.6,1.0,.583,2.0,3.9,.511,.585,0.8,1.2,.714,1.5,3.3,4.8,1.9,0.4,0.6,1.1,2.3,6.6,0,.577,1.3469387755102038,1.36
174,2024,Reggie Jackson,PG,33,DEN,82,69,26.1,5.3,10.9,.485,1.7,4.3,.409,3.6,6.7,.533,.564,1.0,1.4,.718,0.4,1.9,2.3,4.6,0.7,0.3,1.6,2.1,13.4,0,.630,1.2293577981651376,1.34
306,2024,Duncan Robinson,SF,29,MIA,80,72,29.7,5.2,10.9,.479,3.1,7.2,.436,2.1,3.7,.562,.623,1.2,1.5,.800,0.3,2.4,2.7,3.0,0.5,0.1,1.3,2.3,14.7,0,.577,1.348623853211009,1.34
229,2024,Bennedict Mathurin,SF,21,IND,82,70,25.0,4.8,11.0,.433,1.2,3.2,.364,3.6,7.8,.462,.487,2.8,3.3,.835,1.1,2.6,3.8,2.2,0.6,0.2,1.5,2.0,13.4,0,.542,1.2181818181818183,1.16
294,2024,Taurean Prince,PF,29,LAL,80,80,30.1,3.5,8.0,.443,1.9,4.9,.385,1.7,3.1,.533,.560,0.6,0.8,.700,0.3,2.4,2.7,1.6,0.8,0.4,0.9,2.1,9.5,0,.577,1.1875,1.09
69,2024,Zach Collins,C,26,SAS,82,78,27.3,4.9,10.2,.478,1.1,3.8,.289,3.8,6.5,.587,.531,2.3,2.8,.809,2.0,4.0,6.0,3.5,0.6,0.6,2.5,3.4,13.1,0,.167,1.2843137254901962,1.07
194,2024,Maxi Kleber,C,32,DAL,62,58,18.0,0.8,3.2,.250,0.6,1.8,.333,0.2,1.4,.143,.344,1.2,2.0,.600,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4,0,.640,1.0625,1.04
324,2024,Dereon Seabron,SG,23,NOP,61,56,10.4,0.8,2.6,.308,0.2,0.4,.500,0.6,2.2,.273,.346,1.0,1.2,.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8,0,.577,1.0769230769230769,1.03
177,2024,DaQuan Jeffries,SG,26,NYK,66,57,3.0,0.3,1.0,.333,0.1,0.6,.200,0.2,0.4,.500,.389,0.0,0.2,.000,0.0,0.6,0.6,0.2,0.0,0.0,0.1,0.1,0.8,0,.560,0.8,0.99
340,2024,Lamar Stevens,PF,26,BOS,66,59,5.4,1.0,2.1,.471,0.3,0.8,.333,0.8,1.4,.545,.529,0.4,0.5,.750,0.6,0.6,1.3,0.4,0.5,0.4,0.5,1.1,2.6,0,.792,1.2380952380952381,0.92
147,2024,Killian Hayes,PG,22,DET,81,77,26.4,3.6,8.6,.425,0.7,2.4,.305,2.9,6.2,.471,.467,1.1,1.6,.700,0.4,2.7,3.1,4.4,1.0,0.6,1.1,1.9,9.1,0,.077,1.058139534883721,0.9
158,2024,Jalen Hood-Schifino,SG,20,LAL,61,56,10.4,0.8,3.6,.222,0.2,1.6,.125,0.6,2.0,.300,.250,1.0,2.0,.500,0.2,1.0,1.2,0.8,0.0,0.2,0.8,1.4,2.8,0,.577,0.7777777777777777,0.89
209,2024,E.J. Liddell,PF,23,NOP,59,56,3.0,0.3,1.3,.250,0.0,1.0,.000,0.3,0.3,1.000,.250,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,1.3,0,.577,1.0,0.88
393,2024,Jeenathan Williams,SG,24,HOU,64,60,5.5,1.5,2.8,.545,0.0,0.5,.000,1.5,2.3,.667,.545,0.3,0.5,.500,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.5,3.3,0,.591,1.1785714285714286,0.87
389,2024,Lindell Wigginton,PG,25,MIL,59,57,3.5,1.0,2.5,.400,0.0,1.0,.000,1.0,1.5,.667,.400,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,0,.720,1.2,0.86
125,2024,Eric Gordon,SG,35,PHO,78,73,32.0,5.4,11.7,.463,2.7,6.8,.399,2.7,4.9,.553,.579,0.7,0.8,.824,0.3,1.7,2.0,2.9,1.0,0.6,1.6,1.5,14.2,0,.520,1.2136752136752136,0.85
352,2024,Ausar Thompson,SF,21,DET,82,78,27.3,4.3,9.2,.469,0.3,2.0,.154,4.0,7.2,.556,.485,1.4,2.0,.692,2.7,5.4,8.1,2.4,0.9,1.2,1.7,3.5,10.3,0,.077,1.1195652173913044,0.8
246,2024,Brandon Miller,SF,21,CHO,80,74,32.0,5.6,12.9,.435,2.0,5.2,.395,3.5,7.7,.462,.514,1.6,2.0,.795,0.9,3.2,4.1,2.3,0.7,0.5,1.6,2.9,14.8,0,.292,1.1472868217054264,0.78
96,2024,Tari Eason,PF,22,HOU,75,60,19.6,3.5,7.3,.473,0.9,2.1,.438,2.5,5.2,.487,.536,1.0,1.6,.625,2.0,5.3,7.3,1.2,0.7,1.1,1.0,1.9,8.9,0,.591,1.2191780821917808,0.78
153,2024,Haywood Highsmith,PF,27,MIA,72,70,21.8,2.3,5.3,.429,1.0,3.1,.320,1.3,2.1,.588,.524,0.7,0.9,.786,0.6,2.0,2.6,1.5,1.1,0.7,0.9,2.1,6.2,0,.577,1.169811320754717,0.77
227,2024,Caleb Martin,SF,28,MIA,72,62,27.8,4.9,10.9,.451,1.4,3.8,.367,3.6,7.2,.496,.514,1.3,2.0,.656,1.4,3.6,5.0,2.4,0.8,0.3,1.4,2.3,12.6,0,.577,1.1559633027522935,0.77
