,Year,Team,Wins,Losses,Percent,Games Back,PPG,OPPG,SRS
308,2021,Indiana Pacers,34,38,.472,15.0,115.3,115.3,-0.13
309,2021,Charlotte Hornets,33,39,.458,16.0,109.5,111.4,-1.94
310,2021,Chicago Bulls,31,41,.431,18.0,110.7,111.6,-0.94
311,2021,Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54
312,2021,Cleveland Cavaliers,22,50,.306,27.0,103.8,112.3,-8.19
313,2021,Orlando Magic,21,51,.292,28.0,104.0,113.3,-9.02
314,2021,Detroit Pistons,20,52,.278,29.0,106.6,111.1,-4.38
315,2021,Utah Jazz,52,20,.722,—,116.4,107.2,8.97
316,2021,Phoenix Suns,51,21,.708,1.0,115.3,109.5,5.67
317,2021,Denver Nuggets,47,25,.653,5.0,115.1,110.1,4.82
318,2021,Los Angeles Clippers,47,25,.653,5.0,114.0,107.8,6.02
319,2021,Dallas Mavericks,42,30,.583,10.0,112.4,110.2,2.26
320,2021,Portland Trail Blazers,42,30,.583,10.0,116.1,114.3,1.81
321,2021,Los Angeles Lakers,42,30,.583,10.0,109.5,106.8,2.77
322,2021,Golden State Warriors,39,33,.542,13.0,113.7,112.7,1.10
323,2021,Memphis Grizzlies,38,34,.528,14.0,113.3,112.3,1.07
324,2021,San Antonio Spurs,33,39,.458,19.0,111.1,112.8,-1.58
325,2021,New Orleans Pelicans,31,41,.431,21.0,114.6,114.9,-0.20
326,2021,Sacramento Kings,31,41,.431,21.0,113.7,117.4,-3.45
327,2021,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25
328,2021,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,-10.13
329,2021,Houston Rockets,17,55,.236,35.0,108.8,116.7,-7.50
330,2021,Utah Jazz,52,20,.722,—,116.4,107.2,8.97
331,2021,Phoenix Suns,51,21,.708,1.0,115.3,109.5,5.67
332,2021,Denver Nuggets,47,25,.653,5.0,115.1,110.1,4.82
333,2021,Los Angeles Clippers,47,25,.653,5.0,114.0,107.8,6.02
334,2021,Dallas Mavericks,42,30,.583,10.0,112.4,110.2,2.26
335,2021,Portland Trail Blazers,42,30,.583,10.0,116.1,114.3,1.81
336,2021,Los Angeles Lakers,42,30,.583,10.0,109.5,106.8,2.77
337,2021,Golden State Warriors,39,33,.542,13.0,113.7,112.7,1.10
338,2021,Memphis Grizzlies,38,34,.528,14.0,113.3,112.3,1.07
339,2021,San Antonio Spurs,33,39,.458,19.0,111.1,112.8,-1.58
340,2021,New Orleans Pelicans,31,41,.431,21.0,114.6,114.9,-0.20
341,2021,Sacramento Kings,31,41,.431,21.0,113.7,117.4,-3.45
342,2021,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25
343,2021,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,-10.13
344,2021,Houston Rockets,17,55,.236,35.0,108.8,116.7,-7.50
345,2021,Utah Jazz,52,20,.722,—,116.4,107.2,8.97
346,2021,Phoenix Suns,51,21,.708,1.0,115.3,109.5,5.67
347,2021,Denver Nuggets,47,25,.653,5.0,115.1,110.1,4.82
348,2021,Los Angeles Clippers,47,25,.653,5.0,114.0,107.8,6.02
349,2021,Dallas Mavericks,42,30,.583,10.0,112.4,110.2,2.26
350,2021,Portland Trail Blazers,42,30,.583,10.0,116.1,114.3,1.81
351,2021,Los Angeles Lakers,42,30,.583,10.0,109.5,106.8,2.77
352,2021,Golden State Warriors,39,33,.542,13.0,113.7,112.7,1.10
353,2021,Memphis Grizzlies,38,34,.528,14.0,113.3,112.3,1.07
354,2021,San Antonio Spurs,33,39,.458,19.0,111.1,112.8,-1.58
355,2021,New Orleans Pelicans,31,41,.431,21.0,114.6,114.9,-0.20
356,2021,Sacramento Kings,31,41,.431,21.0,113.7,117.4,-3.45
357,2021,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25
358,2021,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,-10.13
