,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
334,LeBron James,2010,25,CLE,NBA,SF,76,76,39.0,10.1,20.1,.503,1.7,5.1,.333,8.4,15.0,.560,.545,7.8,10.2,.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,MVP-1
335,Dwyane Wade,2010,28,MIA,NBA,SG,77,77,36.3,9.3,19.6,.476,0.9,3.2,.300,8.4,16.5,.509,.500,6.9,9.1,.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,MVP-5
336,Dwight Howard,2010,24,ORL,NBA,C,82,82,34.7,6.2,10.2,.612,0.0,0.1,.000,6.2,10.1,.617,.612,5.9,10.0,.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3,MVP-4
337,Joe Johnson,2010,28,ATL,NBA,SG,76,76,38.0,8.4,18.2,.458,1.7,4.6,.369,6.7,13.6,.488,.505,2.9,3.5,.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,MVP-12
338,Kevin Garnett,2010,33,BOS,NBA,PF,69,69,29.9,5.8,11.2,.521,0.0,0.1,.200,5.8,11.1,.523,.521,2.7,3.2,.837,1.1,6.2,7.3,2.7,1.0,0.8,1.5,2.5,14.3,AS
339,Chris Bosh,2010,25,TOR,NBA,C,70,70,36.1,8.6,16.5,.518,0.1,0.3,.364,8.5,16.2,.521,.522,6.7,8.4,.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0,MVP-12
340,Rajon Rondo,2010,23,BOS,NBA,PG,81,81,36.6,5.7,11.2,.508,0.2,1.0,.213,5.5,10.2,.536,.517,2.2,3.5,.621,1.2,3.2,4.4,9.8,2.3,0.1,3.0,2.4,13.7,DPOY-5
341,Gerald Wallace,2010,27,CHA,NBA,SF,76,76,41.0,6.0,12.4,.484,0.7,1.8,.371,5.3,10.6,.503,.511,5.6,7.2,.776,2.0,8.1,10.0,2.1,1.5,1.1,2.3,2.6,18.2,DPOY-3
342,Derrick Rose,2010,21,CHI,NBA,PG,78,78,36.8,8.6,17.6,.489,0.2,0.8,.267,8.4,16.8,.500,.495,3.3,4.3,.766,0.8,2.9,3.8,6.0,0.7,0.3,2.8,1.2,20.8,AS
343,Al Horford,2010,23,ATL,NBA,C,81,81,35.1,5.8,10.5,.551,0.0,0.0,1.000,5.8,10.4,.551,.552,2.6,3.3,.789,2.9,7.0,9.9,2.3,0.7,1.1,1.5,2.8,14.2,AS
344,David Lee,2010,26,NYK,NBA,C,81,81,37.3,8.5,15.5,.545,0.0,0.1,.000,8.5,15.4,.549,.545,3.3,4.1,.812,2.8,8.9,11.7,3.6,1.0,0.5,2.3,3.2,20.2,DPOY-17
345,Paul Pierce,2010,32,BOS,NBA,SF,71,71,34.0,5.8,12.2,.472,1.5,3.7,.414,4.2,8.5,.497,.535,5.2,6.1,.852,0.5,3.8,4.4,3.1,1.2,0.4,2.3,2.8,18.3,AS
346,Carmelo Anthony,2010,25,DEN,NBA,SF,69,69,38.2,10.0,21.8,.458,0.9,2.7,.316,9.1,19.1,.478,.478,7.4,8.9,.830,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,MVP-6
347,Dirk Nowitzki,2010,31,DAL,NBA,PF,81,80,37.5,8.9,18.5,.481,0.6,1.5,.421,8.3,17.0,.487,.498,6.6,7.2,.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,MVP-7
348,Steve Nash,2010,35,PHO,NBA,PG,81,81,32.8,6.2,12.2,.507,1.5,3.6,.426,4.6,8.6,.540,.570,2.6,2.8,.938,0.4,2.9,3.3,11.0,0.5,0.1,3.6,1.3,16.5,MVP-8
349,Amar'e Stoudemire,2010,27,PHO,NBA,PF,82,82,34.6,8.6,15.4,.557,0.0,0.1,.167,8.6,15.3,.559,.557,5.9,7.7,.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,3.4,23.1,MVP-10
350,Tim Duncan,2010,33,SAS,NBA,C,78,77,31.3,7.2,13.9,.518,0.0,0.1,.182,7.2,13.7,.522,.519,3.5,4.8,.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,DPOY-14
351,Deron Williams,2010,25,UTA,NBA,PG,76,76,36.9,6.5,13.9,.469,1.3,3.4,.371,5.2,10.4,.501,.515,4.4,5.5,.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,2.7,18.7,MVP-9
352,Chauncey Billups,2010,33,DEN,NBA,PG,73,73,34.1,5.5,13.2,.418,2.2,5.6,.386,3.4,7.6,.441,.499,6.4,7.0,.910,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,MVP-12
353,Pau Gasol,2010,29,LAL,NBA,C,65,65,37.0,7.0,13.0,.536,0.0,0.1,.000,7.0,12.9,.539,.536,4.4,5.6,.790,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3,AS
354,Kevin Durant,2010,21,OKC,NBA,SF,82,82,39.5,9.7,20.3,.476,1.6,4.3,.365,8.1,16.1,.506,.514,9.2,10.2,.900,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,MVP-2
355,Zach Randolph,2010,28,MEM,NBA,PF,81,81,37.7,8.0,16.5,.488,0.2,0.6,.288,7.9,15.9,.496,.494,4.5,5.7,.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8,AS
356,Chris Kaman,2010,27,LAC,NBA,C,76,76,34.3,7.8,15.8,.490,0.0,0.1,.000,7.8,15.7,.492,.490,3.0,4.0,.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,2.8,18.5,AS
357,Jason Kidd,2010,36,DAL,NBA,PG,80,80,36.0,3.6,8.4,.423,2.2,5.2,.425,1.4,3.2,.420,.554,1.0,1.2,.808,0.6,5.0,5.6,9.1,1.8,0.4,2.4,1.8,10.3,AS
358,Kobe Bryant,2009,30,LAL,NBA,SG,82,82,36.1,9.8,20.9,.467,1.4,4.1,.351,8.3,16.8,.496,.502,5.9,6.9,.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,MVP-2
359,Chris Paul,2009,23,NOH,NBA,PG,78,78,38.5,8.1,16.1,.503,0.8,2.3,.364,7.3,13.8,.525,.528,5.8,6.7,.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,MVP-5
360,Amar'e Stoudemire,2009,26,PHO,NBA,PF,53,53,36.8,7.6,14.1,.539,0.1,0.1,.429,7.6,14.0,.540,.541,6.1,7.3,.835,2.2,5.9,8.1,2.0,0.9,1.1,2.8,3.1,21.4,AS
361,Tim Duncan,2009,32,SAS,NBA,C,75,75,33.7,7.4,14.8,.504,0.0,0.0,.000,7.4,14.7,.505,.504,4.5,6.4,.692,2.7,8.0,10.7,3.5,0.5,1.7,2.2,2.3,19.3,MVP-11
362,Yao Ming,2009,28,HOU,NBA,C,77,77,33.6,7.4,13.4,.548,0.0,0.0,1.000,7.3,13.4,.548,.549,4.9,5.7,.866,2.6,7.2,9.9,1.8,0.4,1.9,3.0,3.3,19.7,MVP-12
363,Brandon Roy,2009,24,POR,NBA,SG,78,78,37.2,8.1,16.9,.480,1.1,2.8,.377,7.1,14.1,.501,.512,5.3,6.5,.824,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6,MVP-9
364,Tony Parker,2009,26,SAS,NBA,PG,72,71,34.1,8.9,17.5,.506,0.3,0.9,.292,8.6,16.6,.518,.513,3.9,5.0,.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22.0,MVP-8
365,Chauncey Billups,2009,32,2TM,NBA,PG,79,79,35.3,5.2,12.4,.418,2.1,5.0,.408,3.1,7.4,.425,.501,5.3,5.8,.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.0,17.7,MVP-6
366,Pau Gasol,2009,28,LAL,NBA,C,81,81,37.0,7.3,12.9,.567,0.0,0.0,.500,7.3,12.9,.567,.567,4.2,5.4,.781,3.2,6.4,9.6,3.5,0.6,1.0,1.9,2.1,18.9,AS
367,David West,2009,28,NOH,NBA,PF,76,76,39.2,8.0,17.0,.472,0.1,0.3,.240,7.9,16.7,.477,.474,4.8,5.5,.884,2.1,6.4,8.5,2.3,0.6,0.9,2.1,2.7,21.0,AS
368,Dirk Nowitzki,2009,30,DAL,NBA,PF,81,81,37.7,9.6,20.0,.479,0.8,2.1,.359,8.8,17.9,.493,.498,6.0,6.7,.890,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,MVP-10
369,Shaquille O'Neal,2009,36,PHO,NBA,C,75,75,30.0,6.8,11.2,.609,0.0,0.0,.000,6.8,11.2,.610,.609,4.1,6.9,.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8,AS
370,Dwight Howard,2009,23,ORL,NBA,C,79,79,35.7,7.1,12.4,.572,0.0,0.0,.000,7.1,12.4,.573,.572,6.4,10.7,.594,4.3,9.6,13.8,1.4,1.0,2.9,3.0,3.4,20.6,MVP-4
371,LeBron James,2009,24,CLE,NBA,SF,81,81,37.7,9.7,19.9,.489,1.6,4.7,.344,8.1,15.2,.535,.530,7.3,9.4,.780,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,MVP-1
372,Dwyane Wade,2009,27,MIA,NBA,SG,79,79,38.6,10.8,22.0,.491,1.1,3.5,.317,9.7,18.5,.524,.516,7.5,9.8,.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,MVP-3
373,Kevin Garnett,2009,32,BOS,NBA,PF,57,57,31.1,6.9,13.0,.531,0.0,0.1,.250,6.9,12.8,.534,.532,1.9,2.3,.841,1.4,7.1,8.5,2.5,1.1,1.2,1.6,2.2,15.8,DPOY-8
374,Allen Iverson,2009,33,2TM,NBA,SG,57,53,36.7,6.1,14.6,.417,0.5,1.7,.283,5.6,12.9,.435,.434,4.8,6.1,.781,0.5,2.5,3.0,5.0,1.5,0.1,2.6,1.5,17.5,AS
375,Joe Johnson,2009,27,ATL,NBA,SG,79,79,39.5,7.8,18.0,.437,1.9,5.2,.360,6.0,12.7,.468,.489,3.8,4.6,.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4,AS
376,Rashard Lewis,2009,29,ORL,NBA,PF,79,79,36.2,6.1,13.8,.439,2.8,7.0,.397,3.3,6.8,.482,.540,2.8,3.4,.836,1.2,4.6,5.7,2.6,1.0,0.6,2.0,2.5,17.7,AS
377,Paul Pierce,2009,31,BOS,NBA,SF,81,81,37.5,6.7,14.6,.457,1.5,3.8,.391,5.2,10.8,.480,.508,5.7,6.8,.830,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7,20.5,MVP-7
378,Ray Allen,2009,33,BOS,NBA,SG,79,79,36.4,6.3,13.2,.480,2.5,6.2,.409,3.8,7.0,.542,.575,3.0,3.2,.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2,AS
379,Devin Harris,2009,25,NJN,NBA,PG,69,69,36.1,6.6,15.1,.438,0.9,3.2,.291,5.7,11.9,.477,.469,7.2,8.8,.820,0.4,2.9,3.3,6.9,1.7,0.2,3.1,2.4,21.3,AS
380,Mo Williams,2009,26,CLE,NBA,PG,81,81,35.0,6.5,13.9,.467,2.3,5.2,.436,4.2,8.7,.486,.548,2.6,2.8,.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7,17.8,AS
381,Danny Granger,2009,25,IND,NBA,SF,67,66,36.2,8.5,19.1,.447,2.7,6.7,.404,5.8,12.3,.470,.518,6.0,6.9,.878,0.7,4.4,5.1,2.7,1.0,1.4,2.5,3.1,25.8,MIP-1
382,Dwight Howard,2008,22,ORL,NBA,C,82,82,37.7,7.1,11.9,.599,0.0,0.0,.000,7.1,11.8,.601,.599,6.5,10.9,.590,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,MVP-5
383,LeBron James,2008,23,CLE,NBA,SF,75,74,40.4,10.6,21.9,.484,1.5,4.8,.315,9.1,17.1,.531,.518,7.3,10.3,.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,MVP-4
384,Jason Kidd,2008,34,2TM,NBA,PG,80,80,36.3,3.8,9.9,.385,1.5,3.9,.381,2.3,6.0,.387,.460,1.7,2.1,.818,1.2,6.3,7.5,10.1,1.7,0.3,3.3,2.1,10.8,AS
385,Dwyane Wade,2008,26,MIA,NBA,SG,51,49,38.3,8.6,18.4,.469,0.4,1.5,.286,8.2,16.9,.485,.480,6.9,9.2,.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6,AS
386,Chris Bosh,2008,23,TOR,NBA,C,67,67,36.2,7.6,15.3,.494,0.1,0.4,.400,7.4,15.0,.496,.499,7.0,8.3,.844,2.6,6.1,8.7,2.6,0.9,1.0,2.3,2.3,22.3,AS
387,Ray Allen,2008,32,BOS,NBA,SG,73,73,35.9,6.0,13.5,.445,2.5,6.2,.398,3.5,7.3,.485,.537,2.9,3.2,.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.4,AS
388,Chauncey Billups,2008,31,DET,NBA,PG,78,78,32.3,5.0,11.2,.448,1.8,4.4,.401,3.3,6.9,.479,.526,5.1,5.6,.918,0.5,2.2,2.7,6.8,1.3,0.2,2.1,1.7,17.0,DPOY-16
389,Richard Hamilton,2008,29,DET,NBA,SG,72,72,33.7,6.9,14.3,.484,0.9,2.0,.440,6.1,12.3,.492,.515,2.6,3.1,.833,1.0,2.2,3.3,4.2,1.0,0.1,1.8,2.4,17.3,DPOY-13
390,Rasheed Wallace,2008,33,DET,NBA,C,77,76,30.5,4.9,11.3,.432,1.5,4.1,.356,3.4,7.2,.476,.497,1.5,1.9,.767,1.1,5.5,6.6,1.8,1.2,1.7,1.1,2.8,12.7,MVP-14
391,Joe Johnson,2008,26,ATL,NBA,SG,82,82,40.8,7.9,18.3,.432,2.1,5.4,.381,5.8,12.8,.454,.489,3.9,4.6,.834,1.0,3.5,4.5,5.8,1.0,0.2,2.7,2.0,21.7,AS
392,Paul Pierce,2008,30,BOS,NBA,SF,80,80,35.9,6.4,13.7,.464,1.8,4.6,.392,4.6,9.2,.499,.529,5.1,6.1,.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.6,MVP-14
393,Antawn Jamison,2008,31,WAS,NBA,PF,79,79,38.7,7.8,17.9,.436,1.5,4.5,.339,6.3,13.5,.468,.478,4.2,5.5,.760,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4,MVP-14
394,Tim Duncan,2008,31,SAS,NBA,C,78,78,34.0,7.5,15.1,.497,0.0,0.1,.000,7.5,15.1,.498,.497,4.3,5.9,.730,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,MVP-7
395,Carmelo Anthony,2008,23,DEN,NBA,SF,77,77,36.4,9.5,19.2,.492,0.8,2.1,.354,8.7,17.1,.509,.511,6.0,7.7,.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7,MVP-13
396,Allen Iverson,2008,32,DEN,NBA,SG,82,82,41.8,8.7,19.0,.458,1.2,3.4,.345,7.5,15.6,.482,.488,7.9,9.7,.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4,AS
397,Yao Ming,2008,27,HOU,NBA,C,55,55,37.2,7.9,15.5,.507,0.0,0.0,.000,7.9,15.5,.508,.507,6.3,7.4,.850,3.1,7.7,10.8,2.3,0.5,2.0,3.3,3.1,22.0,AS
398,Kobe Bryant,2008,29,LAL,NBA,SG,82,82,38.9,9.5,20.6,.459,1.8,5.1,.361,7.6,15.5,.490,.503,7.6,9.0,.840,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,MVP-1
399,Brandon Roy,2008,23,POR,NBA,SG,74,74,37.7,7.2,15.8,.454,1.0,2.9,.340,6.2,12.9,.480,.485,3.8,5.0,.753,1.1,3.6,4.7,5.8,1.1,0.2,1.8,2.0,19.1,AS
400,Chris Paul,2008,22,NOH,NBA,PG,80,80,37.6,7.9,16.1,.488,1.2,3.1,.369,6.7,13.0,.516,.524,4.2,4.9,.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,MVP-2
401,Dirk Nowitzki,2008,29,DAL,NBA,PF,77,77,36.0,8.2,17.1,.479,1.0,2.9,.359,7.2,14.2,.504,.510,6.2,7.1,.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,MVP-11
402,Amar'e Stoudemire,2008,25,PHO,NBA,C,79,79,33.9,9.0,15.3,.590,0.1,0.4,.161,9.0,14.9,.601,.592,7.0,8.7,.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,MVP-6
403,Steve Nash,2008,33,PHO,NBA,PG,81,81,34.3,6.0,11.9,.504,2.2,4.7,.470,3.8,7.2,.527,.597,2.7,3.0,.906,0.3,3.1,3.5,11.1,0.7,0.1,3.6,1.4,16.9,MVP-9
404,Carlos Boozer,2008,26,UTA,NBA,PF,81,81,34.9,8.8,16.0,.547,0.0,0.0,.000,8.8,16.0,.547,.547,3.6,4.9,.738,2.4,8.0,10.4,2.9,1.2,0.5,2.6,3.6,21.1,MVP-14
405,David West,2008,27,NOH,NBA,PF,76,76,37.8,8.3,17.2,.482,0.1,0.3,.240,8.2,16.8,.487,.484,3.9,4.6,.850,2.4,6.5,8.9,2.3,0.8,1.3,2.2,2.7,20.6,AS
406,Kobe Bryant,2007,28,LAL,NBA,SG,77,77,40.8,10.6,22.8,.463,1.8,5.2,.344,8.8,17.6,.497,.502,8.7,10.0,.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,MVP-3
407,Tracy McGrady,2007,27,HOU,NBA,SG,71,71,35.8,9.0,20.8,.431,1.8,5.4,.331,7.2,15.5,.466,.474,4.9,6.9,.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,MVP-6
408,Dirk Nowitzki,2007,28,DAL,NBA,PF,78,78,36.2,8.6,17.2,.502,0.9,2.2,.416,7.7,15.0,.515,.529,6.4,7.1,.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,MVP-1
409,Tim Duncan,2007,30,SAS,NBA,C,80,80,34.1,7.7,14.1,.546,0.0,0.1,.111,7.7,14.0,.550,.547,4.5,7.1,.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0,MVP-4
410,Kevin Garnett,2007,30,MIN,NBA,PF,76,76,39.4,8.4,17.6,.476,0.2,0.7,.214,8.2,16.9,.487,.480,5.5,6.6,.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,MVP-9
411,Carmelo Anthony,2007,22,DEN,NBA,SF,65,65,38.2,10.6,22.4,.476,0.6,2.3,.268,10.0,20.1,.499,.489,7.1,8.7,.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,MVP-15
412,Tony Parker,2007,24,SAS,NBA,PG,77,77,32.5,7.4,14.2,.520,0.2,0.5,.395,7.2,13.7,.525,.527,3.6,4.5,.783,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8,18.6,MVP-15
413,Shawn Marion,2007,28,PHO,NBA,SF,80,80,37.6,7.0,13.4,.524,1.0,3.2,.317,6.0,10.2,.587,.561,2.5,3.1,.810,2.2,7.7,9.8,1.7,2.0,1.5,1.4,2.7,17.5,DPOY-4
414,Ray Allen,2007,31,SEA,NBA,SG,55,55,40.3,9.2,21.0,.438,3.0,8.1,.372,6.2,12.9,.479,.510,5.1,5.6,.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,AS
415,Amar'e Stoudemire,2007,24,PHO,NBA,C,82,78,32.8,7.4,12.9,.575,0.0,0.0,.000,7.4,12.8,.577,.575,5.6,7.1,.781,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6,20.4,MVP-14
416,Josh Howard,2007,26,DAL,NBA,SF,70,69,35.1,7.0,15.4,.459,1.3,3.4,.385,5.7,11.9,.480,.501,3.5,4.2,.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6,18.9,DPOY-18
417,Mehmet Okur,2007,27,UTA,NBA,C,80,80,33.3,6.1,13.3,.462,1.6,4.2,.384,4.5,9.1,.498,.523,3.7,4.8,.765,2.0,5.2,7.2,2.0,0.5,0.5,1.6,3.2,17.6,AS
418,LeBron James,2007,22,CLE,NBA,SF,78,78,40.9,9.9,20.8,.476,1.3,4.0,.319,8.6,16.8,.513,.507,6.3,9.0,.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,MVP-5
419,Dwyane Wade,2007,25,MIA,NBA,SG,51,50,37.9,9.3,18.9,.491,0.4,1.5,.266,8.8,17.3,.511,.502,8.5,10.5,.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,MVP-12
420,Chris Bosh,2007,22,TOR,NBA,C,69,69,38.5,7.9,15.9,.496,0.2,0.5,.343,7.7,15.3,.501,.502,6.7,8.6,.785,2.7,8.0,10.7,2.5,0.6,1.3,2.6,2.4,22.6,MVP-7
421,Gilbert Arenas,2007,25,WAS,NBA,PG,74,73,39.8,8.7,20.9,.418,2.8,7.9,.351,6.0,13.0,.459,.484,8.2,9.7,.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,MVP-8
422,Shaquille O'Neal,2007,34,MIA,NBA,C,40,39,28.4,7.1,12.0,.591,0.0,0.0,None,7.1,12.0,.591,.591,3.1,7.4,.422,2.4,5.0,7.4,2.0,0.2,1.4,2.4,3.5,17.3,MVP-12
423,Jermaine O'Neal,2007,28,IND,NBA,C,69,69,35.6,7.2,16.5,.436,0.0,0.1,.000,7.2,16.4,.439,.436,5.0,6.5,.767,2.2,7.4,9.6,2.4,0.7,2.6,2.9,3.4,19.4,DPOY-10
424,Dwight Howard,2007,21,ORL,NBA,C,82,82,36.9,6.4,10.6,.603,0.0,0.0,.500,6.4,10.6,.603,.603,4.8,8.1,.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3.0,17.6,DPOY-16
425,Joe Johnson,2007,25,ATL,NBA,SG,57,57,41.4,9.4,20.0,.471,2.1,5.5,.381,7.3,14.5,.504,.523,4.1,5.5,.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0,AS
426,Chauncey Billups,2007,30,DET,NBA,PG,70,70,36.2,5.0,11.6,.427,1.6,4.5,.345,3.4,7.1,.479,.494,5.5,6.2,.883,0.3,3.1,3.4,7.2,1.2,0.2,2.0,2.3,17.0,MVP-11
427,Vince Carter,2007,30,NJN,NBA,SG,82,82,38.1,8.9,19.5,.454,1.9,5.3,.357,7.0,14.2,.491,.503,5.6,7.0,.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,3.2,25.2,AS
428,Caron Butler,2007,26,WAS,NBA,SF,63,63,39.3,7.2,15.5,.463,0.3,1.1,.250,6.9,14.3,.480,.472,4.5,5.2,.863,2.3,5.1,7.4,3.7,2.1,0.3,2.9,3.0,19.1,DPOY-21
429,Richard Hamilton,2007,28,DET,NBA,SG,75,75,36.8,7.3,15.6,.468,0.6,1.7,.341,6.7,13.9,.483,.486,4.6,5.4,.861,1.0,2.8,3.8,3.8,0.8,0.2,2.1,3.1,19.8,AS
430,Dwyane Wade,2006,24,MIA,NBA,SG,75,75,38.6,9.3,18.8,.495,0.2,1.0,.171,9.1,17.8,.513,.499,8.4,10.7,.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,MVP-6
431,LeBron James,2006,21,CLE,NBA,SF,79,79,42.5,11.1,23.1,.480,1.6,4.8,.335,9.5,18.3,.518,.515,7.6,10.3,.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,MVP-2
432,Allen Iverson,2006,30,PHI,NBA,PG,72,72,43.1,11.3,25.3,.447,1.0,3.1,.323,10.3,22.2,.465,.467,9.4,11.5,.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,MVP-10
433,Shaquille O'Neal,2006,33,MIA,NBA,C,59,58,30.6,8.1,13.6,.600,0.0,0.0,None,8.1,13.6,.600,.600,3.7,8.0,.469,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20.0,AS
434,Vince Carter,2006,29,NJN,NBA,SG,79,79,36.8,8.3,19.2,.430,1.6,4.6,.341,6.7,14.6,.459,.471,6.1,7.6,.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2,AS
435,Ben Wallace,2006,31,DET,NBA,C,82,82,35.2,2.9,5.7,.510,0.0,0.0,.000,2.9,5.6,.514,.510,1.5,3.6,.416,3.7,7.6,11.3,1.9,1.8,2.2,1.1,2.0,7.3,DPOY-1
436,Rasheed Wallace,2006,31,DET,NBA,PF,80,80,34.8,5.7,13.3,.430,1.9,5.4,.357,3.8,7.9,.480,.503,1.7,2.3,.743,1.1,5.7,6.8,2.3,1.0,1.6,1.1,2.9,15.1,DPOY-13
437,Chris Bosh,2006,21,TOR,NBA,C,70,70,39.3,7.8,15.5,.505,0.0,0.2,.000,7.8,15.3,.511,.505,6.8,8.3,.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0,22.5,AS
438,Chauncey Billups,2006,29,DET,NBA,PG,81,81,36.1,5.2,12.5,.418,2.3,5.2,.433,3.0,7.2,.407,.509,5.7,6.4,.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5,MVP-5
439,Paul Pierce,2006,28,BOS,NBA,SF,79,79,39.0,8.7,18.5,.471,1.4,4.0,.354,7.3,14.5,.503,.509,7.9,10.3,.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,AS
440,Richard Hamilton,2006,27,DET,NBA,SG,80,80,35.3,8.1,16.5,.491,0.7,1.5,.458,7.4,15.0,.494,.512,3.2,3.8,.845,1.1,2.2,3.2,3.4,0.7,0.2,2.2,2.6,20.1,AS
441,Gilbert Arenas,2006,24,WAS,NBA,PG,80,80,42.3,9.3,20.9,.447,2.5,6.8,.369,6.8,14.1,.485,.507,8.2,10.0,.820,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,AS
442,Steve Nash,2006,31,PHO,NBA,PG,79,79,35.4,6.8,13.4,.512,1.9,4.3,.439,4.9,9.0,.548,.583,3.3,3.5,.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,MVP-1
443,Tracy McGrady,2006,26,HOU,NBA,SF,47,47,37.1,8.7,21.5,.406,1.6,5.0,.312,7.2,16.5,.434,.442,5.4,7.2,.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,AS
444,Kobe Bryant,2006,27,LAL,NBA,SG,80,80,41.0,12.2,27.2,.450,2.3,6.5,.347,10.0,20.7,.482,.491,8.7,10.2,.850,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,MVP-4
445,Tim Duncan,2006,29,SAS,NBA,PF,80,80,34.8,7.2,14.8,.484,0.0,0.1,.400,7.2,14.8,.485,.485,4.2,6.7,.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6,MVP-8
446,Yao Ming,2006,25,HOU,NBA,C,57,57,34.2,8.2,15.8,.519,0.0,0.0,.000,8.2,15.8,.519,.519,5.9,6.9,.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4,22.3,AS
